ID,VIDEO,LABEL
1,D0041.mp4,giỗ
2,D0032.mp4,ai cho
3,D0093.mp4,đạo diễn
4,D0095.mp4,cắm trại
5,D0098.mp4,có … không?
6,D0119B.mp4,đúng không?
7,D0119N.mp4,đúng không?
8,D0119T.mp4,đúng không?
9,D0121.mp4,còn bạn?
10,D0127.mp4,căm thù
11,D0146.mp4,một là
12,D0147.mp4,hai là
13,D0148.mp4,ba là
14,D0149.mp4,bốn là
15,D0150.mp4,năm là
16,D0189B.mp4,muốn không?
17,D0189N.mp4,muốn không?
18,D0189T.mp4,muốn không?
19,D0195B.mp4,đẹp không?
20,D0195N.mp4,đẹp không?
21,D0195T.mp4,đẹp không?
22,D0226.mp4,đàng hoàng
23,D0239.mp4,cái gùi
24,D0241.mp4,bất khuất
25,D0257.mp4,ăn vụng
26,D0254.mp4,cảnh giác
27,D0276.mp4,cắt lông mũi
27,D0267B.mp4,đen đủi
29,D0286.mp4,cách ly
30,D0298.mp4,lớn hơn 2 (Toán học)
31,D0297.mp4,lớn hơn 1 (Toán học)
32,D0324.mp4,đùm bọc
33,D0338.mp4,ăn bám
34,D0370.mp4,mệt không?
35,D0356.mp4,đau bụng
36,D0371.mp4,đói không?
37,D0431.mp4,lốc xoáy
37,D0435.mp4,cây nến
39,D0436.mp4,dịu dàng
40,D0466.mp4,cạnh tranh
41,D0447.mp4,cái vợt cá
42,D0468.mp4,cái neo
42,D0490B.mp4,ă
44,D0489.mp4,a
45,D0490T.mp4,ă
46,D0490N.mp4,ă
46,D0491B.mp4,â
48,D0491N.mp4,â
49,D0492.mp4,b
49,D0491T.mp4,â
51,D0493.mp4,c
52,D0494.mp4,d
53,D0495.mp4,đ
54,D0497B.mp4,ê
54,D0496.mp4,e
56,D0497N.mp4,ê
57,D0498B.mp4,g
58,D0497T.mp4,ê
59,D0498N.mp4,g
60,D0500N.mp4,h
61,D0500B.mp4,h
62,D0501.mp4,i
62,D0500T.mp4,h
64,D0502.mp4,k
65,D0503.mp4,l
66,D0504.mp4,m
67,D0505.mp4,n
68,D0506.mp4,o
69,D0507B.mp4,ô
70,D0507N.mp4,ô
71,D0507T.mp4,ô
72,D0508N.mp4,ơ
73,D0509B.mp4,p
74,D0509N.mp4,p
75,D0509T.mp4,p
76,D0510.mp4,q
77,D0511.mp4,r
78,D0512.mp4,s
79,D0513B.mp4,t
80,D0513N.mp4,t
81,D0513T.mp4,t
82,D0514.mp4,u
83,D0515N.mp4,ư
84,D0516.mp4,v
85,D0517N.mp4,x
86,D0517B.mp4,x
87,D0517T.mp4,x
88,D0521.mp4,f
89,D0522.mp4,j
90,D0524B.mp4,dấu huyền
91,D0524N.mp4,dấu huyền
92,D0524T.mp4,dấu huyền
93,D0525B.mp4,dấu sắc
94,D0525N.mp4,dấu sắc
95,D0525T.mp4,dấu sắc
96,D0526B.mp4,dấu hỏi
97,D0526N.mp4,dấu hỏi
98,D0526T.mp4,dấu hỏi
99,D0527B.mp4,dấu ngã
100,D0527N.mp4,dấu ngã
101,D0527T.mp4,dấu ngã
102,D0528.mp4,dấu nặng
103,D0529.mp4,0 (số không)
104,D0530.mp4,1
105,D0531.mp4,2
106,D0532.mp4,3
107,D0533.mp4,4
108,D0534.mp4,5
109,D0536.mp4,7
110,D0538.mp4,9
110,D0537.mp4,8
112,D0539.mp4,10
113,D0544.mp4,40
114,D0545.mp4,80
115,D0546N.mp4,90
116,D0547.mp4,100
117,D0548N.mp4,1000 (một nghìn)
118,D0600.mp4,ăn cóc
119,W00000.mp4,ác
120,W00001.mp4,ác cảm
121,W00002.mp4,ác độc
122,W00011.mp4,anh chị em
123,W00015.mp4,anh hùng
124,W00020.mp4,anh vợ
125,W00039.mp4,ăn diện
126,W00040.mp4,ăn hối lộ
127,W00043.mp4,ăn vặt
128,W00042.mp4,ăn uống
129,W00044.mp4,ăn xin
130,W00049.mp4,ẩm mốc
131,W00050.mp4,ẩm ướt
132,W00051.mp4,ấm áp
133,W00052.mp4,ấm đun nước
134,W00053.mp4,ấm no
135,W00059.mp4,ấn
136,W00061.mp4,ấn tượng
137,W00091.mp4,bàn bạc
138,W00092.mp4,bàn chải đánh răng
139,W00095.mp4,bàn là
140,W00096.mp4,bàn phím (máy vi tính)
141,W00098.mp4,bàn tán
142,W00101.mp4,bản lề
143,W00145B.mp4,bao giờ?
144,W00145N.mp4,bao giờ?
145,W00145T.mp4,bao giờ?
146,W00147.mp4,bao nhiêu?
147,W00144.mp4,bánh xe
148,W00152.mp4,bảo đảm
149,W00157.mp4,bảo thủ
150,W00161.mp4,báo cáo
151,W00163.mp4,báo động
152,W00166.mp4,báo thù
153,W00170.mp4,bát
154,W00171.mp4,bát hương
155,W00172.mp4,bát ngát
156,W00174.mp4,bay
157,W00187.mp4,bắn súng
158,W00189.mp4,băng chuyền
159,W00190.mp4,băng dính
159,W00191.mp4,băng giá
161,W00192.mp4,băng hình
162,W00197.mp4,bắt
163,W00194.mp4,bằng
164,W00199.mp4,bắt giữ
165,W00200.mp4,bắt nạt
166,W00202.mp4,bắt tay
167,W00207.mp4,bất hiếu
168,W00209.mp4,bật đèn
169,W00210.mp4,bật lửa
170,W00212.mp4,bầu trời
171,W00232.mp4,bế em
172,W00246.mp4,bênh vực
173,W00262N.mp4,biến đổi
174,W00263.mp4,biện pháp
175,W00287.mp4,bít tất
176,W00288.mp4,bò
177,W00297.mp4,bó đũa
178,W00299.mp4,bóc lột
179,W00300.mp4,bóc vỏ
179,W00320.mp4,bố trí
181,W00322.mp4,bốc vác
182,W00327.mp4,bố mẹ
183,W00325.mp4,bố
184,W00329.mp4,bộ sách
185,W00331.mp4,bốc thăm
186,W00332.mp4,bồi bàn
187,W00333.mp4,bồi thường
188,W00334.mp4,bồn hoa
189,W00335.mp4,bồn rửa bát
190,W00340.mp4,bột giặt
191,W00347.mp4,bơi
192,W00350.mp4,bơm nước
193,W00351.mp4,bơm xe
194,W00353.mp4,bớt
195,W00363.mp4,buộc dây
195,W00361.mp4,bùn
197,W00364.mp4,buộc tóc
198,W00378.mp4,búp bê
199,W00380.mp4,bút
200,W00381.mp4,bút bi
201,W00388.mp4,bước
202,W00393.mp4,bưu tá
203,W00395.mp4,ca
204,W00401.mp4,cãi nhau
205,W00405.mp4,cái nhíp
206,W00406.mp4,cái túi
207,W00420.mp4,cao quý
208,W00424.mp4,cát
209,W00425.mp4,cau có
210,W00426.mp4,cày
211,W00427.mp4,cày ruộng
212,W00428.mp4,cặp sách
213,W00429.mp4,cặp tóc
214,W00434.mp4,cất giấu
214,W00438.mp4,câu cá
216,W00449.mp4,cầu kì
217,W00453.mp4,cáp treo
218,W00479.mp4,cấy
218,W00450.mp4,cầu nguyện
220,W00480.mp4,cấy lúa
221,W00485.mp4,chai
221,W00481.mp4,cha
223,W00486.mp4,chai nước
224,W00490.mp4,chào cờ
224,W00489.mp4,chào
226,W00499.mp4,chày
227,W00506.mp4,chú ( người)
228,W00536.mp4,chất lỏng
229,W00537.mp4,chất lượng
230,W00545.mp4,chậu
231,W00568.mp4,chỉ khâu
232,W00553.mp4,chén
233,W00572.mp4,chị dâu
234,W00583.mp4,chìa khóa
235,W00591.mp4,chiến thắng
236,W00644.mp4,chủ động
237,W00651.mp4,chú rể
238,W00654.mp4,chú ý
239,W00666.mp4,chục
240,W00667.mp4,chục nghìn
240,W00668.mp4,chục triệu
242,W00689.mp4,chuyên biệt
243,W00690.mp4,chuyên cần
244,W00710.mp4,chức năng
245,W00721.mp4,co dãn
246,W00755.mp4,con đẻ
246,W00752.mp4,con dâu
248,W00760.mp4,con gái
249,W00804.mp4,cong
249,W00809.mp4,cô dâu
251,W00811.mp4,cô đơn
252,W00843.mp4,công nhận
253,W00817.mp4,cổ đại
254,W00910.mp4,cụ
255,W00948.mp4,cứu hộ
256,W00964.mp4,danh dự
256,W00952.mp4,dài
258,W00977.mp4,dãy số
259,W00990.mp4,dẫn chương trình
260,W00983.mp4,dân chài
261,W01008.mp4,bắt buộc
262,W01124.mp4,đặc điểm
262,W01068.mp4,dũng cảm
264,W01144.mp4,đầu tiên
265,W01232.mp4,đoàn tụ
265,W01215.mp4,điều kiện
267,W01272.mp4,độc lập
268,W01298.mp4,nhiệt độ
269,W01305.mp4,đơn giản
270,W01349.mp4,em dâu
271,W01350.mp4,em gái
272,W01353.mp4,em út
273,W01358.mp4,ế ẩm
274,W01378N.mp4,gan dạ
275,W01458.mp4,giáo sĩ
276,W01502.mp4,góc bếp
277,W01537.mp4,hạn hán
278,W01539.mp4,hàng chục
279,W01540.mp4,hàng chục nghìn
280,W01541.mp4,hàng chục triệu
281,W01543.mp4,hàng đơn vị
282,W01546.mp4,hàng nghìn
283,W01547.mp4,hàng trăm
284,W01548.mp4,hàng trăm nghìn
285,W01550.mp4,hàng triệu
286,W01552.mp4,hàng xóm
287,W01575B.mp4,héc-ta (ha)
288,W01634.mp4,hòa bình
289,W01638.mp4,họa sỹ
290,W01730.mp4,ít
291,W01731.mp4,ít hơn
292,W01732.mp4,ít nhất
293,W01841.mp4,không khí
294,W01864.mp4,ki-lô-gam
295,W01865.mp4,ki-lô-mét vuông (km2)
296,W01869.mp4,ki-lô-mét (km)
297,W01911N.mp4,là gì?
297,W01911B.mp4,là gì?
299,W01911T.mp4,là gì?
300,W01992.mp4,lí do
301,W02144.mp4,má
302,W02195.mp4,mây
303,W02229.mp4,mồ côi
304,W02269.mp4,mùa đông
305,W02271.mp4,mùa thu
306,W02282.mp4,mưa phùn
307,W03165.mp4,cầu thang
308,W03272.mp4,thím
309,W04068.mp4,con trai
